model,pl,gl,cl,mqts,bs,cpl,configuration,precision,output_token_throughput(tok/s),prev_output_token_throughput_tok_sec,output_token_throughput_tok_sec_delta,mean_ttft_sec,prev_mean_ttft_sec,mean_ttft_sec_delta,request_throughput(req/s),prev_request_throughput_req_sec,request_throughput_req_sec_delta,tag,config_id,execution_mode,sdk_version,platform,tools,customer_id,model_url,input_size,model_framework,branch,customer,max_nsp,apps_version,platform_version,sdk_id,last_rel_sdk,jira_number,qpc_size_GB,compile_time,cores,curr_decode_tok_sec,curr_prefill_tok_sec,curr_total_tok_sec,curr_tpot_ms,curr_ttft_ms,decode_tok_sec_delta,dfs,host_app,instances,mos,ols,prefill_tok_sec_delta,prev_decode_tok_sec,prev_prefill_tok_sec,prev_total_tok_sec,prev_tpot_ms,prev_ttft_ms,tdp,total_tok_sec_delta,tpot_ms_delta,ttft_ms_delta,system_os,num_cards,status,failure_cause,is_regressed_decode,is_regressed_prefill,is_regressed_total,is_regressed_tpot,is_regressed_ttft,regression_code,avg_latency_sec,e2e_processed_tok_sec,e2e_generated_tok_sec,prev_e2e_processed_tok_sec,prev_e2e_generated_tok_sec,prev_avg_latency_sec,e2e_processed_tok_sec_delta,e2e_generated_tok_sec_delta,avg_latency_sec_delta,is_regressed_e2e_processed_tok_sec,is_regressed_e2e_generated_tok_sec,is_regressed_avg_latency_sec,derated_ttft(sec),derated_decode_tpt(tok/sec),derated_e2e_tpt(tok/sec),execution_time,derated_decode_tpt_per_card(tok/sec),derated_e2e_tpt_per_card(tok/sec),total_token_throughput_tok_sec,prev_total_token_throughput_sec,total_token_throughput_sec_delta,is_regressed_total_token_throughput_sec,is_regressed_mean_ttft_sec,e2e_tok_sec,prev_e2e_tok_sec,e2e_tok_sec_delta,is_regressed_e2e,average_ttft(sec),prev_avg_ttft_sec,avg_ttft_sec_delta,is_regressed_avg_ttft_sec,mean_tpot(ms),mean_itl(ms),prev_mean_tpot_ms,prev_mean_itl_ms,is_regressed_request_throughput_req_sec,is_regressed_output_token_throughput_tok_sec,is_regressed_mean_tpot_ms,is_regressed_mean_itl_ms,mean_tpot_ms_delta,mean_itl_ms_delta,median_dram_utilization_%,median_dram_bw_KBps,model_load_time(sec),prev_sdk_value,prev_sdk_branch,prev_total_token_throughput_tok_sec,total_token_throughput_tok_sec_delta,is_regressed_total_token_throughput_sec_delta,is_regressed_mean_ttft_sec_delta
Jais-adapted-70B,128,128,256,8,16,128,P2P,mx6,114.74,113.97,0.68,3.06,3.37,-9.2,0.9,0.89,1.12,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-70B-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134889,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.58, 02:13:35,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:55,,,229.48,,,None,None,,,,,,,,,116.35,116.35,114.88,114.88,0.0,0,0,0,1.28,1.28,13.185,28690496.0,117.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,227.94,0.68,0,0.0
Jais-adapted-70B,128,128,256,8,32,128,P2P,mx6,183.14,177.7,3.06,6.72,6.55,2.6,1.43,1.39,2.88,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-70B-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134892,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.62, 02:16:10,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:01:05,,,366.29,,,None,None,,,,,,,,,123.0,123.0,129.79,129.79,0.0,0,0,0,-5.23,-5.23,13.435,25065144.0,117.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,355.39,3.07,0,0.0
Jais-adapted-70B,2048,2048,4096,8,1,128,P2P,mx6,11.1,11.76,-5.61,3.76,3.86,-2.59,0.01,0.01,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-70B-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134895,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.25, 02:10:17,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:09:18,,,22.2,,,None,None,,,,,,,,,88.3,88.3,83.21,83.21,,1,1,1,6.12,6.12,14.63,37838544.0,131.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,23.51,-5.57,1,0.0
Jais-adapted-70B,2048,2048,4096,8,4,128,P2P,mx6,26.81,27.89,-3.87,12.16,12.54,-3.03,0.01,0.01,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-70B-onnx-precision-mx6-bs-4-mos-default-ols-default-inst-1-bs-4-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134898,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.27, 02:10:53,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:14:51,,,53.63,,,None,None,,,,,,,,,143.3,143.3,137.38,137.38,,0,0,0,4.31,4.31,15.395,24648880.0,143.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,55.77,-3.84,0,0.0
Jais-adapted-70B,2048,2048,4096,8,8,128,P2P,mx6,63.44,64.59,-1.78,26.71,27.41,-2.55,0.03,0.03,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-70B-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134901,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,66.3, 02:10:51,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:12:14,,,126.88,,,None,None,,,,,,,,,113.11,113.11,110.52,110.52,,0,0,0,2.34,2.34,16.445,33463136.0,129.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,129.18,-1.78,0,0.0
Jais-adapted-70B,2048,2048,4096,8,16,128,P2P,mx6,89.52,99.3,-9.85,56.72,58.27,-2.66,0.04,0.05,-20.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-70B-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134904,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.6, 02:17:11,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:16:25,,,179.04,,,None,None,,,,,,,,,151.1,151.1,132.73,132.73,1.0,1,1,1,13.84,13.84,16.884999999999998,27524664.0,126.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,198.61,-9.85,1,0.0
Jais-adapted-70B,2048,2048,4096,8,32,128,P2P,mx6,129.98,139.95,-7.12,117.59,120.76,-2.63,0.06,0.07,-14.29,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-70B-onnx-precision-mx6-bs-32-mos-default-ols-default-inst-1-bs-32-cl-4096-gl-2048-pl-2048-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,134907,https://huggingface.co/inceptionai/jais-adapted-70b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,58.68, 02:37:19,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:21:43,,,259.97,,,None,None,,,,,,,,,188.85,188.85,169.75,169.75,1.0,1,1,1,11.25,11.25,20.845,26542808.0,122.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,279.91,-7.12,1,0.0
Jais-adapted-7b,128,128,256,4,1,128,P2P,mx6,56.12,56.59,-0.83,0.05,0.05,0.0,0.44,0.44,0.0,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-7b-onnx-precision-mx6-bs-1-mos-default-ols-default-inst-1-bs-1-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136680,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.87, 00:23:35,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:13,,,112.23,,,None,None,,,,,,,,,17.55,17.55,17.4,17.4,,0,0,0,0.86,0.86,0.76,154208.0,11.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,113.17,-0.83,0,
Jais-adapted-7b,128,128,256,4,8,128,P2P,mx6,289.13,286.81,0.81,0.33,0.3,10.0,2.26,2.24,0.89,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-7b-onnx-precision-mx6-bs-8-mos-default-ols-default-inst-1-bs-8-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136683,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,8.89, 00:26:41,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:16,,,578.26,,,None,None,,,,,,,,,25.29,25.29,25.67,25.67,0.0,0,0,0,-1.48,-1.48,0.76,154696.0,11.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,573.63,0.81,0,1.0
Jais-adapted-7b,128,128,256,4,16,128,P2P,mx6,386.58,397.2,-2.67,0.63,0.67,-5.97,3.02,3.1,-2.58,"cloud,LLM-KV-cache,1QPC,qnn_release,random_dataset",Jais-adapted-7b-onnx-precision-mx6-bs-16-mos-default-ols-default-inst-1-bs-16-cl-256-gl-128-pl-128-cores-16,Linear_BS_mode,AIC.1.20.0.106_apps_AIC.1.20.0.106_platform,Gigabyte_16NSP_Ultra,vllm_server,136686,https://huggingface.co/inceptionai/jais-adapted-7b,NA,onnx,master,,,AIC.1.20.0.106_apps,AIC.1.20.0.106_platform,9420,AIC.1.19.1.27_apps_AIC.1.19.1.27_platform,-,6.94, 00:48:58,16,,,,,,,True,LLM-KV-Perf,1,NA,NA,,,,,,,,,,,ubuntu,,PASS,,,,,,,,,,,,,,,,,,,,,,,00:00:21,,,773.16,,,None,None,,,,,,,,,36.68,36.68,35.21,35.21,0.0,0,0,0,4.17,4.17,0.76,154696.0,11.0,AIC.1.19.3.23_apps_AIC.1.19.3.23_platform,r1.19.3,794.41,-2.67,0,0.0
